min,max,mean,median,q25,q75,k,Method,res1,res15,res2,res2.5,res3,res3.5,res45,res4,res5,res6,res7,res8,res9,removed_group,off_diag
0.002575846760370943,0.1733074192560053,0.06385957834875436,0.05048869834901687,0.021681598028669185,0.06842912382573793,10,SLDA,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.018903371382064056
0.07940253567991389,0.9750365204863526,0.5001614028951212,0.5329576196048551,0.15049926392690455,0.7526806588610293,10,tLDA,8,7,6,6,6,6,5,5,5,5,4,2,2,1,0.10876549516226133
0.005364254327499205,0.9986884677435597,0.6419018119119424,0.8293720877281456,0.35814863513046236,0.875151808983728,11,Ours,10,9,9,9,8,8,8,7,7,7,7,7,3,1,0.15689486430262237
0.009917972897238798,0.9996044659304065,0.6436417478150708,0.5504709669512975,0.4492406872351711,0.945096003470454,11,LDA,10,10,9,9,9,9,8,8,8,6,5,5,4,1,0.09226722318486984
0.007334270592419646,0.3872036703963566,0.12385997443170582,0.08593940503897683,0.020154232846555816,0.20005770728523697,11,SLDA,5,4,3,2,1,1,0,0,0,0,0,0,0,1,0.020243377040751766
0.026052482780690726,0.9511977142978376,0.48772985521769263,0.47251110838462346,0.2617343939744798,0.792080134860242,11,tLDA,10,9,9,8,8,6,6,6,4,4,4,3,2,1,0.16588888659330853
0.006401980735940564,0.9987048871585812,0.653762675993389,0.8670930510097061,0.35777339638147726,0.9329821935269162,12,Ours,10,9,9,9,9,9,9,8,8,8,7,7,6,1,0.15764888960485052
0.01733718506717939,0.9996755997253958,0.5575178282998321,0.5186831989429805,0.2624347613596049,0.8229191100295907,12,LDA,10,10,10,9,8,8,8,8,8,6,4,4,2,1,0.0861105332849184
0.0028713022918782447,0.4168375155634409,0.07621036060263778,0.03135249679816676,0.006898708916824729,0.08711049491675057,12,SLDA,3,2,1,1,1,1,1,0,0,0,0,0,0,1,0.014271548544013569
0.10961396589122863,0.9861723370416834,0.5214140925769749,0.4643163152282619,0.1697849176619499,0.838996604406137,12,tLDA,12,9,8,8,8,7,7,7,5,5,5,4,3,1,0.16769491232821254
0.0017556683813362724,0.9986914900276131,0.6576783751201002,0.8452300666815202,0.16630108614001154,0.9557385373851548,13,Ours,11,11,9,9,9,9,9,9,9,9,9,9,5,1,0.11979748793081664
0.014604869483787948,0.9995593677459075,0.6927597660355992,0.7974442840938438,0.5089047684005282,0.9450693225765981,13,LDA,11,11,11,11,11,10,10,10,10,8,8,8,6,1,0.10205700713637232
